from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
124,124,,,245997724599793+366576+0,245997724599783+366247+0,1,
124,124,,,245997724599793+366749+0,245997724599783+366247+0,1,
124,124,,,245997724599793+366613+0,245997724599783+366272+0,1,
124,124,,,245997724599793+366760+0,245997724599783+366272+0,1,
124,124,,,245997724599793+366645+0,245997724599783+366286+0,1,
124,124,,,245997724599793+366653+0,245997724599783+366295+0,1,
124,124,,,245997724599793+366661+0,245997724599783+366301+0,1,
124,124,,,245997724599793+366842+0,245997724599783+366317+0,1,
124,124,,,245997724599793+366682+0,245997724599783+366325+0,1,
124,124,,,245997724599793+366777+0,245997724599783+366325+0,1,
124,124,,,245997724599783+366690+0,245997724599783+366343+0,1,
124,124,,,245997724599793+366782+0,245997724599783+366343+0,1,
124,124,,,245997724599793+366789+0,245997724599783+366416+0,1,
131,131,,,245997724599793+366851+0,245997724599783+366416+0,1,
140,140,,,245997724599793+366898+0,245997724599783+366416+0,1,
124,124,,,245997724599793+366106+0,245997724599783+366423+0,1,
124,124,,,245997724599793+366205+0,245997724599783+366512+0,1,
124,124,,,245997724599793+366223+0,245997724599783+366532+1,1,
131,131,,,245997724599793+366393+1,245997724599783+366537+1,1,
124,124,,,245997724599793+366249+1,245997724599783+366603+1,1,
124,124,,,245997724599793+366290+1,245997724599783+366648+0,1,
124,124,,,245997724599793+366298+0,245997724599783+366657+0,1,
124,124,,,245997724599793+366305+0,245997724599783+366664+0,1,
124,124,,,245997724599793+366773+0,245997724599783+366669+0,1,
124,124,,,245997724599783+366312+0,245997724599783+366674+0,1,
124,124,,,245997724599793+366321+0,245997724599783+366677+0,1,
124,124,,,245997724599793+366782+0,245997724599783+366690+0,1,
140,140,,,245997724599793+366895+0,245997724599783+366690+0,1,
124,124,,,245997724599793+366208+0,245997724599783+366809+0,1,
131,131,,,245997724599793+366521+0,245997724599783+366809+0,1,
76,76,,,245997724599783+368020+0,245997724599783+367099+0,1,
76,76,,,245997724599793+368161+0,245997724599783+367380+0,1,
76,76,,,245997724599783+368171+0,245997724599783+367387+0,1,
76,76,,,245997724599793+367044+1,245997724599783+367422+1,1,
76,76,,,245997724599793+367261+0,245997724599783+367710+0,1,
76,76,,,245997724599783+367057+0,245997724599783+367717+0,1,
76,76,,,245997724599793+367060+0,245997724599783+367724+1,1,
74,74,,,245997724599793+367063+1,245997724599783+367752+1,1,
94,94,,,245997724599793+369164+0,245997724599783+368009+0,1,
76,76,,,245997724599793+367090+1,245997724599783+368018+1,1,
76,76,,,245997724599783+367348+1,245997724599783+368114+1,1,
76,76,,,245997724599793+367376+0,245997724599783+368152+0,1,
76,76,,,245997724599793+367384+0,245997724599783+368165+0,1,
94,94,,,245997724599793+369269+0,245997724599783+368171+0,1,
33,33,,,245997724599793+368879+0,245997724599783+368333+0,1,
33,33,,,245997724599783+368883+0,245997724599783+368338+0,1,
33,33,,,245997724599793+368888+0,245997724599783+368342+0,1,
33,33,,,245997724599793+368268+0,245997724599783+368402+0,1,
33,33,,,245997724599783+368344+0,245997724599783+368891+0,1,
124,124,,,245997724599794+366576+0,245997724599784+366247+0,1,
124,124,,,245997724599794+366749+0,245997724599784+366247+0,1,
124,124,,,245997724599794+366613+0,245997724599784+366272+0,1,
124,124,,,245997724599794+366760+0,245997724599784+366272+0,1,
124,124,,,245997724599794+366645+0,245997724599784+366286+0,1,
124,124,,,245997724599794+366653+0,245997724599784+366295+0,1,
124,124,,,245997724599794+366661+0,245997724599784+366301+0,1,
124,124,,,245997724599794+366842+0,245997724599784+366317+0,1,
124,124,,,245997724599794+366682+0,245997724599784+366325+0,1,
124,124,,,245997724599794+366777+0,245997724599784+366325+0,1,
124,124,,,245997724599784+366690+0,245997724599784+366343+0,1,
124,124,,,245997724599794+366782+0,245997724599784+366343+0,1,
124,124,,,245997724599794+366789+0,245997724599784+366416+0,1,
131,131,,,245997724599794+366851+0,245997724599784+366416+0,1,
140,140,,,245997724599794+366898+0,245997724599784+366416+0,1,
124,124,,,245997724599794+366106+0,245997724599784+366423+0,1,
124,124,,,245997724599794+366205+0,245997724599784+366512+0,1,
124,124,,,245997724599794+366223+0,245997724599784+366532+1,1,
131,131,,,245997724599794+366393+1,245997724599784+366537+1,1,
124,124,,,245997724599794+366249+1,245997724599784+366603+1,1,
124,124,,,245997724599794+366290+1,245997724599784+366648+0,1,
124,124,,,245997724599794+366298+0,245997724599784+366657+0,1,
