route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,peak_offpeak
4,245998224599865,245998224599865+366711+1,Grand Central Terminal,1711,1,,8,1,1
4,245998924599935,245998924599935+366712+1,Grand Central Terminal,1711,1,,8,1,1
4,246001024600774,246001024600774+366712+1,Grand Central Terminal,1711,1,,8,0,1
4,245997724599795,245997724599795+366713+1,New Canaan,1712,0,,19,1,1
5,245998224599863,245998224599863+366795+0,Danbury,1812,0,,21,1,0
5,245998924599934,245998924599934+366796+0,Danbury,1812,0,,21,1,0
5,246000524600074,246000524600074+366796+0,Danbury,1812,0,,21,0,0
5,245998924599932,245998924599932+366796+0,Danbury,1812,0,,21,1,0
5,246001024600772,246001024600772+366796+0,Danbury,1812,0,,21,0,0
5,245998224599865,245998224599865+366797+0,Danbury,1816,0,,21,1,0
5,246001024600772,246001024600772+366797+0,Danbury,1816,0,,21,0,0
5,245999724600003,245999724600003+366797+0,Danbury,1816,0,,21,1,0
5,245999724600005,245999724600005+366797+0,Danbury,1816,0,,21,1,0
5,245998924599931,245998924599931+366797+0,Danbury,1816,0,,21,1,0
5,245998224599862,245998224599862+366852+0,South Norwalk,1897,1,,10,1,0
5,246001024600772,246001024600772+366852+0,South Norwalk,1897,1,,10,0,0
5,245999724600003,245999724600003+366852+0,South Norwalk,1897,1,,10,1,0
3,246000724600775,246000724600775+367074+0,New Haven,3538,0,,16,0,0
3,246000524600074,246000524600074+367075+1,New Haven,3542,0,,16,0,1
3,245999724600003,245999724600003+367075+1,New Haven,3542,0,,16,1,1
2,245998224599935,245998224599935+367127+1,Southeast,4661,0,,14,1,1
2,245999724600005,245999724600005+367127+1,Southeast,4661,0,,14,1,1
2,246000524600073,246000524600073+367128+1,Southeast,4661,0,,14,0,1
2,245997724599794,245997724599794+367191+0,North White Plains,517,0,,14,1,0
2,245997724599793,245997724599793+367191+0,North White Plains,517,0,,14,1,0
2,246001024600772,246001024600772+367192+0,North White Plains,517,0,,14,0,0
2,245997724599793,245997724599793+367249+0,North White Plains,537,0,,14,1,0
2,246001024600772,246001024600772+367250+0,North White Plains,537,0,,14,0,0
2,245998224599935,245998224599935+367250+0,North White Plains,537,0,,14,1,0
2,246001024600771,246001024600771+367250+0,North White Plains,537,0,,14,0,0
2,246001024600774,246001024600774+367441+1,Grand Central Terminal,620,1,,3,0,1
2,245998224599933,245998224599933+367441+1,Grand Central Terminal,620,1,,3,1,1
2,245998224599934,245998224599934+367441+1,Grand Central Terminal,620,1,,3,1,1
2,246000324600042,246000324600042+367308+1,North White Plains,565,0,,14,1,1
2,246000324600041,246000324600041+367316+1,North White Plains,567,0,,14,1,1
2,246000524600075,246000524600075+367317+0,Grand Central Terminal,568,1,,3,0,0
